model,accuracy,avg_recall,training time,testing time
knn_1,0.154,0.1580550753996334,0.0001609325408935547,48.64186072349548
knn_2,0.163,0.16764786484823027,0.00010347366333007812,48.88811755180359
knn_3,0.147,0.1521581644937858,0.00011038780212402344,48.87122368812561
knn_4,0.143,0.1477817867635236,0.00010943412780761719,48.7793755531311
knn_5,0.144,0.1484155672014585,0.0001049041748046875,48.84676456451416
knn_6,0.141,0.14435034760561077,0.00010347366333007812,48.95659923553467
knn_7,0.141,0.146033879842682,0.00010371208190917969,48.64703369140625
knn_8,0.135,0.140650901694595,0.00010848045349121094,48.80759835243225
knn_9,0.129,0.13452657381436875,0.00013113021850585938,48.99678063392639
knn_10,0.123,0.12966614007589508,0.00010418891906738281,48.98257231712341
knn_11,0.122,0.1284292411409925,0.0001049041748046875,50.061219930648804
knn_12,0.12,0.12608984720159858,0.00010514259338378906,50.212204456329346
knn_13,0.119,0.12637327677867605,0.00010800361633300781,48.754416942596436
knn_14,0.116,0.12415992593814736,0.00010848045349121094,48.582744121551514
knn_15,0.116,0.12573433426827257,0.00011086463928222656,49.19033336639404
knn_16,0.118,0.12708049643439842,0.00010514259338378906,48.30384850502014
knn_17,0.117,0.1267525490843095,0.00010538101196289062,48.437172412872314
knn_18,0.115,0.1254582375478927,0.0001049041748046875,48.51284456253052
knn_19,0.112,0.1228043997140186,0.000110626220703125,49.38091993331909
